dataset_name,sequence_name,Thresold_ML_Voters,Thresold_Human_Voters,TP,TN,FP,FN,SUM,Precision,Accuracy,Prevalence,Sensitivity-Recall,Specificity,F1 Score,Informedness,Markedness,Diagnostic Odds Ratio,Phi Coefficient,Fowlkes-Mallows Index,Negative Predictive Value,Miss Rate,Fall-out,False Discovery Rate,False Omission Rate,Positive Likelihood Ratio,Negative Likelihood Ratio,Prevalence Threshold,Threat Score
117_m_Vr,func,1,2,3,12,0,5,20,1,0.75,0.4,0.375,1,0.545454545,0.375,1,inf,0.514495755,0.612372436,0.705882353,0.625,0,0,0.294117647,inf,0.625,0.15,0.545454545
7_m_Ca,anat,1,1,3,10,2,5,20,0.6,0.65,0.4,0.375,0.833333333,0.461538462,0.208333333,0.6,2.25,0.23570226,0.474341649,0.666666667,0.625,0.166666667,0.4,0.333333333,2.25,0.75,0.25,0.461538462
7_r_Se,anat,1,2,3,102,15,5,125,0.166666667,0.84,0.064,0.375,0.871794872,0.230769231,0.246794872,0.166666667,2.925,0.172046529,0.25,0.953271028,0.625,0.128205128,0.833333333,0.046728972,2.925,0.716911765,0.144,0.230769231
7_r_Se,anat,2,2,3,113,4,5,125,0.428571429,0.928,0.064,0.375,0.965811966,0.4,0.340811966,0.428571429,10.96875,0.362796205,0.400891863,0.957627119,0.625,0.034188034,0.571428571,0.042372881,10.96875,0.647123894,0.056,0.4
7_m_Lo,diff,1,2,6,16,4,10,36,0.6,0.611111111,0.444444444,0.375,0.8,0.461538462,0.175,0.6,1.875,0.194145069,0.474341649,0.615384615,0.625,0.2,0.4,0.384615385,1.875,0.78125,0.277777778,0.461538462
7_m_Lo,diff,1,3,4,18,6,8,36,0.4,0.611111111,0.333333333,0.333333333,0.75,0.363636364,0.083333333,0.4,1.333333333,0.087705802,0.365148372,0.692307692,0.666666667,0.25,0.6,0.307692308,1.333333333,0.888888889,0.277777778,0.363636364
7_m_Lo,diff,1,4,2,22,8,4,36,0.2,0.666666667,0.166666667,0.333333333,0.733333333,0.25,0.066666667,0.2,1.25,0.05547002,0.25819889,0.846153846,0.666666667,0.266666667,0.8,0.153846154,1.25,0.909090909,0.277777778,0.25
7_h_He,anat,1,2,1,4,3,2,10,0.25,0.5,0.3,0.333333333,0.571428571,0.285714286,-0.095238095,0.25,0.777777778,-0.089087081,0.288675135,0.666666667,0.666666667,0.428571429,0.75,0.333333333,0.777777778,1.166666667,0.4,0.285714286
7_m_St,anat,1,4,1,14,2,2,19,0.333333333,0.789473684,0.157894737,0.333333333,0.875,0.333333333,0.208333333,0.333333333,2.666666667,0.208333333,0.333333333,0.875,0.666666667,0.125,0.666666667,0.125,2.666666667,0.761904762,0.157894737,0.333333333
7_m_Ca,diff,1,1,2,9,3,4,18,0.4,0.611111111,0.333333333,0.333333333,0.75,0.363636364,0.083333333,0.4,1.333333333,0.087705802,0.365148372,0.692307692,0.666666667,0.25,0.6,0.307692308,1.333333333,0.888888889,0.277777778,0.363636364
7_m_Lo,diff,1,1,8,10,2,16,36,0.8,0.5,0.666666667,0.333333333,0.833333333,0.470588235,0.166666667,0.8,2,0.175411604,0.516397779,0.384615385,0.666666667,0.166666667,0.2,0.615384615,2,0.8,0.277777778,0.470588235
94_r_Fr,diff,1,1,7,167,19,17,210,0.269230769,0.828571429,0.114285714,0.291666667,0.897849462,0.28,0.189516129,0.269230769,2.855263158,0.183068104,0.280224269,0.907608696,0.708333333,0.102150538,0.730769231,0.092391304,2.855263158,0.788922156,0.123809524,0.28
7_m_St,anat,1,1,3,7,0,9,19,1,0.526315789,0.631578947,0.25,1,0.4,0.25,1,inf,0.330718914,0.5,0.4375,0.75,0,0,0.5625,inf,0.75,0.157894737,0.4
94_m_Rei,anat,1,1,2,1,1,6,10,0.666666667,0.3,0.8,0.25,0.5,0.363636364,-0.25,0.666666667,0.5,-0.21821789,0.40824829,0.142857143,0.75,0.5,0.333333333,0.857142857,0.5,1.5,0.3,0.363636364
7_h_He,anat,1,1,1,3,3,3,10,0.25,0.4,0.4,0.25,0.5,0.25,-0.25,0.25,0.5,-0.25,0.25,0.5,0.75,0.5,0.75,0.5,0.5,1.5,0.4,0.25
94c_m_As,diff,1,1,4,0,0,12,16,1,0.25,1,0.25,,0.4,,1,,0,0.5,0,0.75,,0,1,,,0.25,0.4
94c_m_As,diff,1,2,1,9,3,3,16,0.25,0.625,0.25,0.25,0.75,0.25,0,0.25,1,0,0.25,0.75,0.75,0.25,0.75,0.25,1,1,0.25,0.25
7_r_Se,diff,1,1,3,163,33,10,209,0.083333333,0.794258373,0.062200957,0.230769231,0.831632653,0.12244898,0.062401884,0.083333333,1.370629371,0.039913803,0.138675049,0.942196532,0.769230769,0.168367347,0.916666667,0.057803468,1.370629371,0.924964606,0.172248804,0.12244898
94_r_We,anat,1,1,2,86,8,7,103,0.2,0.854368932,0.087378641,0.222222222,0.914893617,0.210526316,0.137115839,0.2,2.611111111,0.130776989,0.210818511,0.924731183,0.777777778,0.085106383,0.8,0.075268817,2.611111111,0.850129199,0.097087379,0.210526316
94_r_We,anat,2,1,2,91,3,7,103,0.4,0.902912621,0.087378641,0.222222222,0.968085106,0.285714286,0.190307329,0.4,6.962962963,0.250059095,0.298142397,0.928571429,0.777777778,0.031914894,0.6,0.071428571,6.962962963,0.803418803,0.048543689,0.285714286
117_m_Ra,func,1,1,6,69,13,22,110,0.315789474,0.681818182,0.254545455,0.214285714,0.841463415,0.255319149,0.055749129,0.315789474,1.351648352,0.064243106,0.260132991,0.758241758,0.785714286,0.158536585,0.684210526,0.241758242,1.351648352,0.933747412,0.172727273,0.255319149
94_m_As,func,1,1,3,1,0,11,15,1,0.266666667,0.933333333,0.214285714,1,0.352941176,0.214285714,1,inf,0.133630621,0.46291005,0.083333333,0.785714286,0,0,0.916666667,inf,0.785714286,0.2,0.352941176
117c_m_Ri,diff,1,2,1,11,2,4,18,0.333333333,0.666666667,0.277777778,0.2,0.846153846,0.25,0.046153846,0.333333333,1.3,0.05547002,0.25819889,0.733333333,0.8,0.153846154,0.666666667,0.266666667,1.3,0.945454545,0.166666667,0.25
