,Dataset,Thresold,Sequence,Kappa,F1_score
124,94_m_Rei,2,structural,,
125,94_m_Rei,2,functional,,
126,94_m_Va,2,anatomical,0.16717356042173506,0.0
127,94_m_Va,2,structural,0.20041397809279443,0.041666666666666664
128,94_m_Va,2,functional,,
129,94_m_We,2,anatomical,0.35481003997746235,0.27906976744186046
130,94_m_We,2,structural,-0.2237762237762244,0.6666666666666666
131,94_m_We,2,functional,-0.053610406606580764,0.3404255319148936
132,94_r_Fr,2,anatomical,0.27978956403350363,0.07920792079207921
133,94_r_Fr,2,structural,-0.1057981266854249,0.21739130434782608
134,94_r_Fr,2,functional,,
135,94_r_We,2,anatomical,-0.01052009456264832,0.16666666666666666
136,94_r_We,2,structural,-0.12973074750517824,0.14285714285714285
137,94_r_We,2,functional,0.11179775280898588,0.25
138,117c_m_Ri,3,anatomical,,
139,117c_m_Ri,3,structural,0.1616586538461539,0.0
140,117c_m_Ri,3,functional,0.24075275794938333,0.0
141,117_m_Ra,3,anatomical,0.3777250077857366,0.0
142,117_m_Ra,3,structural,0.6327683615819212,0.5
143,117_m_Ra,3,functional,0.29911955514365113,0.0
144,117_m_Vr,3,anatomical,0.05000000000000301,0.0
145,117_m_Vr,3,structural,,
146,117_m_Vr,3,functional,0.3274485077763765,0.0
147,164_m_Ku,3,anatomical,0.2827147360957629,0.1627906976744186
148,164_m_Ku,3,structural,0.4021942985746432,0.3333333333333333
149,164_m_Ku,3,functional,,
150,7_h_He,3,anatomical,0.6666666666666666,0.0
151,7_h_He,3,structural,,
152,7_h_He,3,functional,0.1815476190476196,0.0
153,7_m_Bo,3,anatomical,-0.023462783171520524,0.0
154,7_m_Bo,3,structural,0.3781213983864777,0.0
155,7_m_Bo,3,functional,,
156,7_m_Br,3,anatomical,-0.05905006418485236,0.33333333333333337
157,7_m_Br,3,structural,-0.0647619047619051,0.2
158,7_m_Br,3,functional,,
159,7_m_Ca,3,anatomical,,
160,7_m_Ca,3,structural,0.012345679012345146,0.0
161,7_m_Ca,3,functional,,
162,7_m_Lo,3,anatomical,0.3274061343204649,0.0
163,7_m_Lo,3,structural,0.4762145748987855,0.0
164,7_m_Lo,3,functional,,
165,7_m_Mi,3,anatomical,0.3794174341400731,0.0
166,7_m_Mi,3,structural,-0.038791981254881126,0.0
167,7_m_Mi,3,functional,,
168,7_m_Se,3,anatomical,0.12498848669061445,0.0
169,7_m_Se,3,structural,-0.0066723239987353964,0.11764705882352941
170,7_m_Se,3,functional,,
171,7_m_St,3,anatomical,0.5591666666666665,0.0
172,7_m_St,3,structural,,
173,7_m_St,3,functional,,
174,7_rab_Mu,3,anatomical,0.22077922077922046,0.0
175,7_rab_Mu,3,structural,0.12946428571428464,1.0
176,7_rab_Mu,3,functional,,
177,7_r_Se,3,anatomical,0.49784196547144727,0.0
178,7_r_Se,3,structural,0.21100224750667324,0.0
179,7_r_Se,3,functional,,
180,7_r_So,3,anatomical,-0.008064516129019284,0.0
181,7_r_So,3,structural,,
182,7_r_So,3,functional,,
183,94c_m_As,3,anatomical,0.27927927927927826,1.0
184,94c_m_As,3,structural,0.0028490028490027884,0.0
185,94c_m_As,3,functional,-0.00628930817610062,0.4
186,94_g_We,3,anatomical,0.20646234259919477,0.0
187,94_g_We,3,structural,,
188,94_g_We,3,functional,0.06388936388508924,0.6666666666666666
189,94_m_As,3,anatomical,0.22945205479452063,0.0
190,94_m_As,3,structural,0.358333333333333,1.0
191,94_m_As,3,functional,0.09317211948790864,0.0
192,94_m_Rei,3,anatomical,-0.04166666666666695,0.0
193,94_m_Rei,3,structural,,
194,94_m_Rei,3,functional,,
195,94_m_Va,3,anatomical,0.16717356042173506,0.0
196,94_m_Va,3,structural,0.20041397809279443,0.0
197,94_m_Va,3,functional,,
