,Dataset,Thresold,Sequence,Kappa,F1_score
329,94_m_As,5,functional,,
330,94_m_Rei,5,anatomical,,
331,94_m_Rei,5,structural,,
332,94_m_Rei,5,functional,,
333,94_m_Va,5,anatomical,,
334,94_m_Va,5,structural,,
335,94_m_Va,5,functional,,
336,94_m_We,5,anatomical,,
337,94_m_We,5,structural,,
338,94_m_We,5,functional,,
339,94_r_Fr,5,anatomical,,
340,94_r_Fr,5,structural,,
341,94_r_Fr,5,functional,,
342,94_r_We,5,anatomical,,
343,94_r_We,5,structural,,
344,94_r_We,5,functional,,
